NSN,Item Name
"""5120-01-650-3034""","""SOCKET,SOCKET WRENCH"""
"""6130-01-538-3280""","""RING,RETAINING"""
"""5120-01-387-1813""","""PULLER,FUSE"""
"""5130-01-660-0517""","""BLADE,RECIPROCATING SAW"""
"""5315-01-397-7515""","""STAPLE"""
"""5133-01-671-5571""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""4730-01-670-4900""","""COUPLING HALF,QUICK DISCONNECT"""
"""5110-01-590-1169""","""FILE,HAND"""
"""5133-01-672-5189""","""DIE,METAL PUNCHING MACHINE"""
"""5120-01-473-9578""","""AWL,SCRATCH"""
"""5130-01-622-1825""","""REMOTE CONTROL RADIO DEVICE,HAND"""
"""5120-01-670-9246""","""PLIERS,SLIP JOINT"""
"""5133-01-671-3008""","""DRILL,TWIST"""
"""5120-01-587-6700""","""BAR,COMBINATION PRY"""
"""5110-01-671-7480""","""CHISEL,FLOOR"""
"""5120-01-399-9952""","""PUNCH,CENTER,SOLID"""
"""5140-01-661-5814""","""POUCH,MECHANIC'S TOOLS"""
"""5210-01-587-6722""","""SQUARE,CARPENTER''S"""
"""9150-01-660-6117""","""LUBRICATING WAX"""
"""5130-01-671-8040""","""SAW,CIRCULAR,PORTABLE,ELECTRIC"""
"""5120-01-588-0035""","""JOINTER,BRICK"""
"""5133-01-671-5567""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5130-01-671-7999""","""DRIVER,IMPACT,ELECTRIC"""
"""5130-01-587-8156""","""BLADE,SAW,CIRCULAR"""
"""5133-01-671-4343""","""DRILL,TWIST"""
"""5120-01-536-8930""","""PLIERS,SLIP JOINT"""
"""6130-01-659-9257""","""CHARGER,BATTERY"""
"""5133-01-671-6119""","""BIT,AUGER"""
"""5130-01-671-8618""","""WHEEL,ABRASIVE"""
"""6625-01-628-8174""","""MULTIMETER"""
"""5133-01-671-7098""","""COUNTERSINK"""
"""5130-01-672-0606""","""BLADE,RECIPROCATING SAW"""
"""5130-01-672-0599""","""BLADE,CIRCULAR SAW,MASONRY CUTTI"""
"""5130-01-671-4340""","""BLADE,CIRCULAR SAW,WOODCUTTING"""
"""5120-01-536-8930""","""PLIERS,SLIP JOINT"""
"""5120-01-604-3488""","""BIT,SCREWDRIVER"""
"""5342-01-251-2040""","""LOCKOUT,SWITCH"""
"""5130-01-671-4341""","""BLADE,CIRCULAR SAW,WOODCUTTING"""
"""9905-01-669-5079""","""TAG,MARKER"""
"""5440-01-356-6956""","""STEPLADDER"""
"""4930-01-672-3724""","""OILER,HAND"""
"""5120-01-671-6114""","""WRENCH,BOX AND OPEN END,COMBINAT"""
"""5120-01-588-0041""","""EDGER,CONCRETE"""
"""5133-01-671-4353""","""POWER SUPPLY"""
"""5133-01-671-3884""","""BIT,SPADE,WOOD BORING"""
"""5133-01-379-7129""","""DRILL,TWIST"""
"""5120-01-116-0630""","""TROWEL"""
"""5130-01-400-2498""","""BIT,SCREWDRIVER"""
"""5130-01-671-7383""","""CHUCK,QUICK CHANGE"""
"""5130-01-564-6276""","""BIT,SCREWDRIVER"""
"""5133-01-017-8307""","""BIT,SPADE,WOOD BORING"""
"""5110-01-057-4406""","""BLADE,KNIFE"""
"""5133-01-671-4975""","""BIT,SPADE,WOOD BORING"""
"""5110-01-563-9475""","""FILE,HAND"""
"""5140-01-671-7997""","""PANEL,INSERT,TOOL BOX"""
"""5110-01-590-1182""","""CHISEL,BUTT,WOODWORKING"""
"""4540-01-552-4142""","""UVEX GENESIS CLEAR SPECTACLE ASS"""
"""5130-01-671-3647""","""BLADE,RECIPROCATING SAW"""
"""5120-01-593-0215""","""HAMMER,HAND"""
"""5120-01-654-1789""","""WRENCH,PLIER"""
"""5120-01-593-0474""","""PLIERS,SLIP JOINT"""
"""5130-01-696-1421""","""TONE RING,ABS"""
"""4020-01-662-9420""","""TWINE,FIBROUS"""
"""5133-01-671-4976""","""DRILL,TWIST"""
"""5133-01-671-3007""","""DRILL,TWIST"""
"""5120-01-671-2564""","""WRENCH,PLIER"""
"""5133-01-671-6723""","""BIT,AUGER"""
"""5440-01-674-2784""","""STEP,LADDER"""
"""5120-01-671-8613""","""DISPENSER,SEALANT"""
"""5133-01-671-7487""","""DRILL,MASONRY,HAND"""
"""5130-01-547-5120""","""SAW,JIG,ELECTRIC,PORTABLE"""
"""5120-01-650-3033""","""SOCKET,SOCKET WRENCH"""
"""5130-01-671-9373""","""BLADE,CIRCULAR SAW,METAL CUTTING"""
"""5120-01-587-9577""","""SCREWDRIVER,CROSS TIP"""
"""5120-01-430-5771""","""BIT,SCREWDRIVER"""
"""5120-01-604-5811""","""BRUSH,FILE CLEANING"""
"""5133-01-671-6122""","""BIT,AUGER"""
"""5130-01-622-7119""","""PIN,STRAIGHT,HEADLESS"""
"""8105-01-624-9397""","""BAG,TEXTILE"""
"""5130-01-649-5335""","""SAW,RECIPROCATING,PORTABLE,ELECT"""
"""5110-01-590-1183""","""RASP,HAND"""
"""5110-01-671-8032""","""CUTTER,TILE,HAND"""
"""5210-01-587-6674""","""CASE,LEVEL"""
"""5210-01-670-7005""","""LEVEL,LINE"""
"""5120-01-661-5815""","""HOLDER,HAMMER"""
"""5120-01-473-9401""","""HAMMER,HAND"""
"""5140-01-671-7479""","""ROLL,TOOLS AND ACCESSORIES"""
"""5110-01-590-1172""","""CHISEL,BUTT,WOODWORKING"""
"""5133-01-671-2999""","""DRILL,TWIST"""
"""5130-01-599-5023""","""STAND,MITER SAW"""
"""5133-01-671-4975""","""BIT,SPADE,WOOD BORING"""
"""5133-01-671-5570""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5133-01-672-0594""","""BLADE,RECIPROCATING SAW"""
"""5133-01-671-4345""","""BIT,SPADE,WOOD BORING"""
"""4240-01-670-5080""","""ADAPTER,QUICK CONNECT AND DISCON"""
"""5120-01-588-0005""","""BRACKET,MORTAR FLOA"""
"""5120-01-671-3887""","""WRENCH,BOX AND OPEN END,COMBINAT"""
"""5130-01-672-4592""","""BIT,SCREWDRIVER"""
"""5133-01-671-2561""","""CARTRIDGE,INK"""
"""5120-01-587-6697""","""PULLER,NAIL,HAND"""
"""5140-01-662-2880""","""BELT,TOOL,REPAIRMAN'S"""
"""5130-01-444-4665""","""DRILL-DRIVER,ELECTRIC,PORTABLE"""
"""3439-01-154-9652""","""FLUX,SOLDERING"""
"""5110-01-661-9233""","""SAW,HAND,CROSSCUT"""
"""7920-01-672-3969""","""BRUSH,WIRE,TUBE"""
"""5130-01-477-7873""","""CABINET,ELECTRICAL EQUIPMENT"""
"""5130-01-672-4593""","""BLADE,CIRCULAR SAW,WOODCUTTING"""
"""5120-01-672-4589""","""KEY SET,SOCKET HEAD SCREW"""
"""5120-01-604-5811""","""BRUSH,FILE CLEANING"""
"""5133-01-671-6725""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5133-01-672-5168""","""DRILL,TWIST"""
"""5120-01-671-3835""","""SWITCH,ELECTRONIC"""
"""5120-01-588-0091""","""TROWEL"""
"""5120-01-648-4570""","""PLIERS,SLIP JOINT"""
"""5130-01-653-8370""","""SAW,RECIPROCATING,PORTABLE,ELECT"""
"""5130-01-671-7376""","""SAW,CIRCULAR,PORTABLE,ELECTRIC"""
"""5130-01-629-4733""","""BLADE,RECIPROCATING SAW"""
